C103, 22.61, 26.34, 0.00, 0.1u, C0402
C104, 30.89, 18.34, 180.00, 0.1u, C0402
C105, 23.16, 21.62, 0.00, 0.1u, C0402
C106, 30.89, 19.89, 180.00, 0.1u, C0402
C107, 22.73, 32.44, 90.00, 4.7u, C0805
C111, 23.24, 18.01, 270.00, 0.1u, C0402
C112, 25.40, 21.18, 90.00, 0.1u, C0402
C113, 24.49, 18.06, 270.00, 0.1u, C0402
C201, 7.75, 37.67, 0.00, 100n, C0402
C202, 9.19, 27.61, 180.00, 10u, C0603
C203, 7.49, 33.66, 0.00, 470n, C0402
C204, 8.59, 29.08, 180.00, 1u, C0402
C205, 2.87, 27.58, 0.00, 22u, C0805
D201, 12.07, 38.38, 180.00, CUS520H3F, CUS520H3F
J302, 21.08, 40.51, 180.00, HIROSE-DF40_30-PIN_CONNECTORS-RECEPTACLE, HRS_DF40HC(3.0)-30DS-0.4V(51)
JP201, 15.09, 42.01, 180.00, JUMPER-SMT_2_NC_PASTE_NO-SILK, SMT-JUMPER_2_NC_PASTE_NO-SILK
JP203, 7.24, 40.79, 90.00, JUMPER-SMT_3_1-NC_PASTE_NO-SILK, SMT-JUMPER_3_1-NC_PASTE_NO-SILK
L101, 23.39, 28.78, 0.00, L1212, L1212
L201, 6.17, 24.51, 0.00, 1u, L1008
Q202, 10.26, 41.35, 270.00, DMG3415UFY4Q-7, SOT23-3
R106, 4.47, 20.93, 0.00, 1k, R0402
R201, 13.23, 41.50, 270.00, 10M, R0402
TP_CPU, 24.18, 33.10, 180.00, TPTP06R, TP06R
U201, 7.49, 35.56, 0.00, COULOMB-MAX17262, BGA9N40P3X3_144X146X69N
U202, 6.17, 27.61, 90.00, MAX77827BEWC+T, 12-WLP
